Track Name,Album,Popularity,Spotify URL
Gipsy,The Return of House Music,48,https://open.spotify.com/track/7mA03cPnG3UkLgf1ed87fI
Tidalwave,Tidalwave,47,https://open.spotify.com/track/7wB5Ktf3MbsbNRgEDI5B80
Boom Shakalaka,The Return of House Music,46,https://open.spotify.com/track/5ijp0ctfwwkmkR6hWDQnwn
Slow Burn,The Return of House Music,45,https://open.spotify.com/track/1AfA0K7BLxceH7PjzcZdZc
Shout Like,Free Moksi,32,https://open.spotify.com/track/2GdyMupGfIbc4Fr55WwUKg
Mud Season,Mud Season,32,https://open.spotify.com/track/3gmgRuhZrpfawnbjWPf6Ov
Lucky,Lucky,31,https://open.spotify.com/track/3ItxfrDWn5XBVAD47u47r4
The Mindshaker,The Mindshaker,30,https://open.spotify.com/track/6fEAu7JRaeepDU0HJn0Kce
Slow Burn - Lost Frequencies Remix,The Return of House Music (Remix Pack 1),29,https://open.spotify.com/track/6mRQXPtzPhllXky078BuJ2
Inside of Me (Posij Remix),Free Moksi (Remix Album),28,https://open.spotify.com/track/4KxhSt1i8RgqGdurA9tLvS
